date,period,year,quarter,area,value
2014-01-01,2014-Q%q,2014,2014Q1,Ireland,1094.0
2014-01-01,2014-Q%q,2014,2014Q1,Cork City Council,9.0
2014-01-01,2014-Q%q,2014,2014Q1,Clare County Council,38.0
2014-01-01,2014-Q%q,2014,2014Q1,Cavan County Council,25.0
2014-01-01,2014-Q%q,2014,2014Q1,Cork County Council,91.0
2014-01-01,2014-Q%q,2014,2014Q1,Carlow County Council,22.0
2014-01-01,2014-Q%q,2014,2014Q1,Dublin City Council,56.0
2014-01-01,2014-Q%q,2014,2014Q1,Dún Laoghaire Rathdown County Council,143.0
2014-01-01,2014-Q%q,2014,2014Q1,Donegal County Council,55.0
2014-01-01,2014-Q%q,2014,2014Q1,Fingal County Council,53.0
2014-01-01,2014-Q%q,2014,2014Q1,Galway County Council,65.0
2014-01-01,2014-Q%q,2014,2014Q1,Galway City Council,6.0
2014-01-01,2014-Q%q,2014,2014Q1,Kildare County Council,58.0
2014-01-01,2014-Q%q,2014,2014Q1,Kilkenny County Council,20.0
2014-01-01,2014-Q%q,2014,2014Q1,Kerry County Council,40.0
2014-01-01,2014-Q%q,2014,2014Q1,Longford County Council,17.0
2014-01-01,2014-Q%q,2014,2014Q1,Louth County Council,27.0
2014-01-01,2014-Q%q,2014,2014Q1,Limerick City & County Council,27.0
2014-01-01,2014-Q%q,2014,2014Q1,Leitrim County Council,7.0
2014-01-01,2014-Q%q,2014,2014Q1,Laois County Council,24.0
2014-01-01,2014-Q%q,2014,2014Q1,Meath County Council,39.0
2014-01-01,2014-Q%q,2014,2014Q1,Monaghan County Council,11.0
2014-01-01,2014-Q%q,2014,2014Q1,Mayo County Council,35.0
2014-01-01,2014-Q%q,2014,2014Q1,Offaly County Council,14.0
2014-01-01,2014-Q%q,2014,2014Q1,Roscommon County Council,17.0
2014-01-01,2014-Q%q,2014,2014Q1,South Dublin County Council,49.0
2014-01-01,2014-Q%q,2014,2014Q1,Sligo County Council,9.0
2014-01-01,2014-Q%q,2014,2014Q1,Tipperary County Council,28.0
2014-01-01,2014-Q%q,2014,2014Q1,Waterford City & County Council,20.0
2014-01-01,2014-Q%q,2014,2014Q1,Westmeath County Council,23.0
2014-01-01,2014-Q%q,2014,2014Q1,Wicklow County Council,29.0
2014-01-01,2014-Q%q,2014,2014Q1,Wexford County Council,37.0
2014-04-01,2014-Q%q,2014,2014Q2,Ireland,1318.0
2014-04-01,2014-Q%q,2014,2014Q2,Cork City Council,27.0
2014-04-01,2014-Q%q,2014,2014Q2,Clare County Council,34.0
2014-04-01,2014-Q%q,2014,2014Q2,Cavan County Council,22.0
2014-04-01,2014-Q%q,2014,2014Q2,Cork County Council,113.0
2014-04-01,2014-Q%q,2014,2014Q2,Carlow County Council,18.0
2014-04-01,2014-Q%q,2014,2014Q2,Dublin City Council,243.0
2014-04-01,2014-Q%q,2014,2014Q2,Dún Laoghaire Rathdown County Council,64.0
2014-04-01,2014-Q%q,2014,2014Q2,Donegal County Council,62.0
2014-04-01,2014-Q%q,2014,2014Q2,Fingal County Council,74.0
2014-04-01,2014-Q%q,2014,2014Q2,Galway County Council,59.0
2014-04-01,2014-Q%q,2014,2014Q2,Galway City Council,18.0
2014-04-01,2014-Q%q,2014,2014Q2,Kildare County Council,65.0
2014-04-01,2014-Q%q,2014,2014Q2,Kilkenny County Council,22.0
2014-04-01,2014-Q%q,2014,2014Q2,Kerry County Council,42.0
2014-04-01,2014-Q%q,2014,2014Q2,Longford County Council,8.0
2014-04-01,2014-Q%q,2014,2014Q2,Louth County Council,29.0
2014-04-01,2014-Q%q,2014,2014Q2,Limerick City & County Council,39.0
2014-04-01,2014-Q%q,2014,2014Q2,Leitrim County Council,7.0
2014-04-01,2014-Q%q,2014,2014Q2,Laois County Council,15.0
2014-04-01,2014-Q%q,2014,2014Q2,Meath County Council,53.0
2014-04-01,2014-Q%q,2014,2014Q2,Monaghan County Council,17.0
2014-04-01,2014-Q%q,2014,2014Q2,Mayo County Council,50.0
2014-04-01,2014-Q%q,2014,2014Q2,Offaly County Council,11.0
2014-04-01,2014-Q%q,2014,2014Q2,Roscommon County Council,10.0
2014-04-01,2014-Q%q,2014,2014Q2,South Dublin County Council,60.0
2014-04-01,2014-Q%q,2014,2014Q2,Sligo County Council,21.0
2014-04-01,2014-Q%q,2014,2014Q2,Tipperary County Council,33.0
2014-04-01,2014-Q%q,2014,2014Q2,Waterford City & County Council,15.0
2014-04-01,2014-Q%q,2014,2014Q2,Westmeath County Council,12.0
2014-04-01,2014-Q%q,2014,2014Q2,Wicklow County Council,36.0
2014-04-01,2014-Q%q,2014,2014Q2,Wexford County Council,39.0
2014-07-01,2014-Q%q,2014,2014Q3,Ireland,1404.0
2014-07-01,2014-Q%q,2014,2014Q3,Cork City Council,33.0
2014-07-01,2014-Q%q,2014,2014Q3,Clare County Council,45.0
2014-07-01,2014-Q%q,2014,2014Q3,Cavan County Council,23.0
2014-07-01,2014-Q%q,2014,2014Q3,Cork County Council,111.0
2014-07-01,2014-Q%q,2014,2014Q3,Carlow County Council,21.0
2014-07-01,2014-Q%q,2014,2014Q3,Dublin City Council,145.0
2014-07-01,2014-Q%q,2014,2014Q3,Dún Laoghaire Rathdown County Council,75.0
2014-07-01,2014-Q%q,2014,2014Q3,Donegal County Council,63.0
2014-07-01,2014-Q%q,2014,2014Q3,Fingal County Council,152.0
2014-07-01,2014-Q%q,2014,2014Q3,Galway County Council,72.0
2014-07-01,2014-Q%q,2014,2014Q3,Galway City Council,12.0
2014-07-01,2014-Q%q,2014,2014Q3,Kildare County Council,75.0
2014-07-01,2014-Q%q,2014,2014Q3,Kilkenny County Council,25.0
2014-07-01,2014-Q%q,2014,2014Q3,Kerry County Council,44.0
2014-07-01,2014-Q%q,2014,2014Q3,Longford County Council,15.0
2014-07-01,2014-Q%q,2014,2014Q3,Louth County Council,46.0
2014-07-01,2014-Q%q,2014,2014Q3,Limerick City & County Council,38.0
2014-07-01,2014-Q%q,2014,2014Q3,Leitrim County Council,8.0
2014-07-01,2014-Q%q,2014,2014Q3,Laois County Council,15.0
2014-07-01,2014-Q%q,2014,2014Q3,Meath County Council,61.0
2014-07-01,2014-Q%q,2014,2014Q3,Monaghan County Council,21.0
2014-07-01,2014-Q%q,2014,2014Q3,Mayo County Council,45.0
2014-07-01,2014-Q%q,2014,2014Q3,Offaly County Council,22.0
2014-07-01,2014-Q%q,2014,2014Q3,Roscommon County Council,17.0
2014-07-01,2014-Q%q,2014,2014Q3,South Dublin County Council,60.0
2014-07-01,2014-Q%q,2014,2014Q3,Sligo County Council,12.0
2014-07-01,2014-Q%q,2014,2014Q3,Tipperary County Council,34.0
2014-07-01,2014-Q%q,2014,2014Q3,Waterford City & County Council,12.0
2014-07-01,2014-Q%q,2014,2014Q3,Westmeath County Council,15.0
2014-07-01,2014-Q%q,2014,2014Q3,Wicklow County Council,36.0
2014-07-01,2014-Q%q,2014,2014Q3,Wexford County Council,51.0
2014-10-01,2014-Q%q,2014,2014Q4,Ireland,1702.0
2014-10-01,2014-Q%q,2014,2014Q4,Cork City Council,20.0
2014-10-01,2014-Q%q,2014,2014Q4,Clare County Council,44.0
2014-10-01,2014-Q%q,2014,2014Q4,Cavan County Council,32.0
2014-10-01,2014-Q%q,2014,2014Q4,Cork County Council,157.0
2014-10-01,2014-Q%q,2014,2014Q4,Carlow County Council,12.0
2014-10-01,2014-Q%q,2014,2014Q4,Dublin City Council,102.0
2014-10-01,2014-Q%q,2014,2014Q4,Dún Laoghaire Rathdown County Council,184.0
2014-10-01,2014-Q%q,2014,2014Q4,Donegal County Council,76.0
2014-10-01,2014-Q%q,2014,2014Q4,Fingal County Council,178.0
2014-10-01,2014-Q%q,2014,2014Q4,Galway County Council,67.0
2014-10-01,2014-Q%q,2014,2014Q4,Galway City Council,11.0
2014-10-01,2014-Q%q,2014,2014Q4,Kildare County Council,102.0
2014-10-01,2014-Q%q,2014,2014Q4,Kilkenny County Council,36.0
2014-10-01,2014-Q%q,2014,2014Q4,Kerry County Council,52.0
2014-10-01,2014-Q%q,2014,2014Q4,Longford County Council,14.0
2014-10-01,2014-Q%q,2014,2014Q4,Louth County Council,44.0
2014-10-01,2014-Q%q,2014,2014Q4,Limerick City & County Council,28.0
2014-10-01,2014-Q%q,2014,2014Q4,Leitrim County Council,14.0
2014-10-01,2014-Q%q,2014,2014Q4,Laois County Council,25.0
2014-10-01,2014-Q%q,2014,2014Q4,Meath County Council,71.0
2014-10-01,2014-Q%q,2014,2014Q4,Monaghan County Council,23.0
2014-10-01,2014-Q%q,2014,2014Q4,Mayo County Council,51.0
2014-10-01,2014-Q%q,2014,2014Q4,Offaly County Council,20.0
2014-10-01,2014-Q%q,2014,2014Q4,Roscommon County Council,23.0
2014-10-01,2014-Q%q,2014,2014Q4,South Dublin County Council,70.0
2014-10-01,2014-Q%q,2014,2014Q4,Sligo County Council,18.0
2014-10-01,2014-Q%q,2014,2014Q4,Tipperary County Council,38.0
2014-10-01,2014-Q%q,2014,2014Q4,Waterford City & County Council,34.0
2014-10-01,2014-Q%q,2014,2014Q4,Westmeath County Council,34.0
2014-10-01,2014-Q%q,2014,2014Q4,Wicklow County Council,54.0
2014-10-01,2014-Q%q,2014,2014Q4,Wexford County Council,68.0
2015-01-01,2015-Q%q,2015,2015Q1,Ireland,1371.0
2015-01-01,2015-Q%q,2015,2015Q1,Cork City Council,30.0
2015-01-01,2015-Q%q,2015,2015Q1,Clare County Council,22.0
2015-01-01,2015-Q%q,2015,2015Q1,Cavan County Council,17.0
2015-01-01,2015-Q%q,2015,2015Q1,Cork County Council,108.0
2015-01-01,2015-Q%q,2015,2015Q1,Carlow County Council,17.0
2015-01-01,2015-Q%q,2015,2015Q1,Dublin City Council,132.0
2015-01-01,2015-Q%q,2015,2015Q1,Dún Laoghaire Rathdown County Council,63.0
2015-01-01,2015-Q%q,2015,2015Q1,Donegal County Council,51.0
2015-01-01,2015-Q%q,2015,2015Q1,Fingal County Council,180.0
2015-01-01,2015-Q%q,2015,2015Q1,Galway County Council,63.0
2015-01-01,2015-Q%q,2015,2015Q1,Galway City Council,10.0
2015-01-01,2015-Q%q,2015,2015Q1,Kildare County Council,107.0
2015-01-01,2015-Q%q,2015,2015Q1,Kilkenny County Council,18.0
2015-01-01,2015-Q%q,2015,2015Q1,Kerry County Council,30.0
2015-01-01,2015-Q%q,2015,2015Q1,Longford County Council,6.0
2015-01-01,2015-Q%q,2015,2015Q1,Louth County Council,67.0
2015-01-01,2015-Q%q,2015,2015Q1,Limerick City & County Council,36.0
2015-01-01,2015-Q%q,2015,2015Q1,Leitrim County Council,11.0
2015-01-01,2015-Q%q,2015,2015Q1,Laois County Council,16.0
2015-01-01,2015-Q%q,2015,2015Q1,Meath County Council,53.0
2015-01-01,2015-Q%q,2015,2015Q1,Monaghan County Council,21.0
2015-01-01,2015-Q%q,2015,2015Q1,Mayo County Council,36.0
2015-01-01,2015-Q%q,2015,2015Q1,Offaly County Council,17.0
2015-01-01,2015-Q%q,2015,2015Q1,Roscommon County Council,10.0
2015-01-01,2015-Q%q,2015,2015Q1,South Dublin County Council,70.0
2015-01-01,2015-Q%q,2015,2015Q1,Sligo County Council,16.0
2015-01-01,2015-Q%q,2015,2015Q1,Tipperary County Council,36.0
2015-01-01,2015-Q%q,2015,2015Q1,Waterford City & County Council,17.0
2015-01-01,2015-Q%q,2015,2015Q1,Westmeath County Council,11.0
2015-01-01,2015-Q%q,2015,2015Q1,Wicklow County Council,51.0
2015-01-01,2015-Q%q,2015,2015Q1,Wexford County Council,49.0
2015-04-01,2015-Q%q,2015,2015Q2,Ireland,1570.0
2015-04-01,2015-Q%q,2015,2015Q2,Cork City Council,36.0
2015-04-01,2015-Q%q,2015,2015Q2,Clare County Council,39.0
2015-04-01,2015-Q%q,2015,2015Q2,Cavan County Council,12.0
2015-04-01,2015-Q%q,2015,2015Q2,Cork County Council,141.0
2015-04-01,2015-Q%q,2015,2015Q2,Carlow County Council,15.0
2015-04-01,2015-Q%q,2015,2015Q2,Dublin City Council,95.0
2015-04-01,2015-Q%q,2015,2015Q2,Dún Laoghaire Rathdown County Council,54.0
2015-04-01,2015-Q%q,2015,2015Q2,Donegal County Council,67.0
2015-04-01,2015-Q%q,2015,2015Q2,Fingal County Council,239.0
2015-04-01,2015-Q%q,2015,2015Q2,Galway County Council,74.0
2015-04-01,2015-Q%q,2015,2015Q2,Galway City Council,15.0
2015-04-01,2015-Q%q,2015,2015Q2,Kildare County Council,145.0
2015-04-01,2015-Q%q,2015,2015Q2,Kilkenny County Council,23.0
2015-04-01,2015-Q%q,2015,2015Q2,Kerry County Council,40.0
2015-04-01,2015-Q%q,2015,2015Q2,Longford County Council,19.0
2015-04-01,2015-Q%q,2015,2015Q2,Louth County Council,27.0
2015-04-01,2015-Q%q,2015,2015Q2,Limerick City & County Council,33.0
2015-04-01,2015-Q%q,2015,2015Q2,Leitrim County Council,10.0
2015-04-01,2015-Q%q,2015,2015Q2,Laois County Council,21.0
2015-04-01,2015-Q%q,2015,2015Q2,Meath County Council,78.0
2015-04-01,2015-Q%q,2015,2015Q2,Monaghan County Council,26.0
2015-04-01,2015-Q%q,2015,2015Q2,Mayo County Council,44.0
2015-04-01,2015-Q%q,2015,2015Q2,Offaly County Council,21.0
2015-04-01,2015-Q%q,2015,2015Q2,Roscommon County Council,24.0
2015-04-01,2015-Q%q,2015,2015Q2,South Dublin County Council,50.0
2015-04-01,2015-Q%q,2015,2015Q2,Sligo County Council,9.0
2015-04-01,2015-Q%q,2015,2015Q2,Tipperary County Council,38.0
2015-04-01,2015-Q%q,2015,2015Q2,Waterford City & County Council,42.0
2015-04-01,2015-Q%q,2015,2015Q2,Westmeath County Council,20.0
2015-04-01,2015-Q%q,2015,2015Q2,Wicklow County Council,60.0
2015-04-01,2015-Q%q,2015,2015Q2,Wexford County Council,53.0
2015-07-01,2015-Q%q,2015,2015Q3,Ireland,2033.0
2015-07-01,2015-Q%q,2015,2015Q3,Cork City Council,33.0
2015-07-01,2015-Q%q,2015,2015Q3,Clare County Council,34.0
2015-07-01,2015-Q%q,2015,2015Q3,Cavan County Council,24.0
2015-07-01,2015-Q%q,2015,2015Q3,Cork County Council,162.0
2015-07-01,2015-Q%q,2015,2015Q3,Carlow County Council,34.0
2015-07-01,2015-Q%q,2015,2015Q3,Dublin City Council,112.0
2015-07-01,2015-Q%q,2015,2015Q3,Dún Laoghaire Rathdown County Council,92.0
2015-07-01,2015-Q%q,2015,2015Q3,Donegal County Council,58.0
2015-07-01,2015-Q%q,2015,2015Q3,Fingal County Council,263.0
2015-07-01,2015-Q%q,2015,2015Q3,Galway County Council,99.0
2015-07-01,2015-Q%q,2015,2015Q3,Galway City Council,14.0
2015-07-01,2015-Q%q,2015,2015Q3,Kildare County Council,163.0
2015-07-01,2015-Q%q,2015,2015Q3,Kilkenny County Council,33.0
2015-07-01,2015-Q%q,2015,2015Q3,Kerry County Council,57.0
2015-07-01,2015-Q%q,2015,2015Q3,Longford County Council,13.0
2015-07-01,2015-Q%q,2015,2015Q3,Louth County Council,30.0
2015-07-01,2015-Q%q,2015,2015Q3,Limerick City & County Council,64.0
2015-07-01,2015-Q%q,2015,2015Q3,Leitrim County Council,17.0
2015-07-01,2015-Q%q,2015,2015Q3,Laois County Council,25.0
2015-07-01,2015-Q%q,2015,2015Q3,Meath County Council,88.0
2015-07-01,2015-Q%q,2015,2015Q3,Monaghan County Council,28.0
2015-07-01,2015-Q%q,2015,2015Q3,Mayo County Council,65.0
2015-07-01,2015-Q%q,2015,2015Q3,Offaly County Council,54.0
2015-07-01,2015-Q%q,2015,2015Q3,Roscommon County Council,20.0
2015-07-01,2015-Q%q,2015,2015Q3,South Dublin County Council,96.0
2015-07-01,2015-Q%q,2015,2015Q3,Sligo County Council,22.0
2015-07-01,2015-Q%q,2015,2015Q3,Tipperary County Council,44.0
2015-07-01,2015-Q%q,2015,2015Q3,Waterford City & County Council,94.0
2015-07-01,2015-Q%q,2015,2015Q3,Westmeath County Council,26.0
2015-07-01,2015-Q%q,2015,2015Q3,Wicklow County Council,102.0
2015-07-01,2015-Q%q,2015,2015Q3,Wexford County Council,67.0
2015-10-01,2015-Q%q,2015,2015Q4,Ireland,2245.0
2015-10-01,2015-Q%q,2015,2015Q4,Cork City Council,93.0
2015-10-01,2015-Q%q,2015,2015Q4,Clare County Council,51.0
2015-10-01,2015-Q%q,2015,2015Q4,Cavan County Council,38.0
2015-10-01,2015-Q%q,2015,2015Q4,Cork County Council,175.0
2015-10-01,2015-Q%q,2015,2015Q4,Carlow County Council,33.0
2015-10-01,2015-Q%q,2015,2015Q4,Dublin City Council,146.0
2015-10-01,2015-Q%q,2015,2015Q4,Dún Laoghaire Rathdown County Council,86.0
2015-10-01,2015-Q%q,2015,2015Q4,Donegal County Council,69.0
2015-10-01,2015-Q%q,2015,2015Q4,Fingal County Council,349.0
2015-10-01,2015-Q%q,2015,2015Q4,Galway County Council,102.0
2015-10-01,2015-Q%q,2015,2015Q4,Galway City Council,12.0
2015-10-01,2015-Q%q,2015,2015Q4,Kildare County Council,162.0
2015-10-01,2015-Q%q,2015,2015Q4,Kilkenny County Council,36.0
2015-10-01,2015-Q%q,2015,2015Q4,Kerry County Council,65.0
2015-10-01,2015-Q%q,2015,2015Q4,Longford County Council,12.0
2015-10-01,2015-Q%q,2015,2015Q4,Louth County Council,47.0
2015-10-01,2015-Q%q,2015,2015Q4,Limerick City & County Council,79.0
2015-10-01,2015-Q%q,2015,2015Q4,Leitrim County Council,17.0
2015-10-01,2015-Q%q,2015,2015Q4,Laois County Council,22.0
2015-10-01,2015-Q%q,2015,2015Q4,Meath County Council,106.0
2015-10-01,2015-Q%q,2015,2015Q4,Monaghan County Council,44.0
2015-10-01,2015-Q%q,2015,2015Q4,Mayo County Council,51.0
2015-10-01,2015-Q%q,2015,2015Q4,Offaly County Council,20.0
2015-10-01,2015-Q%q,2015,2015Q4,Roscommon County Council,16.0
2015-10-01,2015-Q%q,2015,2015Q4,South Dublin County Council,90.0
2015-10-01,2015-Q%q,2015,2015Q4,Sligo County Council,27.0
2015-10-01,2015-Q%q,2015,2015Q4,Tipperary County Council,53.0
2015-10-01,2015-Q%q,2015,2015Q4,Waterford City & County Council,44.0
2015-10-01,2015-Q%q,2015,2015Q4,Westmeath County Council,28.0
2015-10-01,2015-Q%q,2015,2015Q4,Wicklow County Council,80.0
2015-10-01,2015-Q%q,2015,2015Q4,Wexford County Council,92.0
2016-01-01,2016-Q%q,2016,2016Q1,Ireland,1936.0
2016-01-01,2016-Q%q,2016,2016Q1,Cork City Council,67.0
2016-01-01,2016-Q%q,2016,2016Q1,Clare County Council,37.0
2016-01-01,2016-Q%q,2016,2016Q1,Cavan County Council,20.0
2016-01-01,2016-Q%q,2016,2016Q1,Cork County Council,129.0
2016-01-01,2016-Q%q,2016,2016Q1,Carlow County Council,15.0
2016-01-01,2016-Q%q,2016,2016Q1,Dublin City Council,175.0
2016-01-01,2016-Q%q,2016,2016Q1,Dún Laoghaire Rathdown County Council,276.0
2016-01-01,2016-Q%q,2016,2016Q1,Donegal County Council,57.0
2016-01-01,2016-Q%q,2016,2016Q1,Fingal County Council,277.0
2016-01-01,2016-Q%q,2016,2016Q1,Galway County Council,78.0
2016-01-01,2016-Q%q,2016,2016Q1,Galway City Council,19.0
2016-01-01,2016-Q%q,2016,2016Q1,Kildare County Council,119.0
2016-01-01,2016-Q%q,2016,2016Q1,Kilkenny County Council,22.0
2016-01-01,2016-Q%q,2016,2016Q1,Kerry County Council,42.0
2016-01-01,2016-Q%q,2016,2016Q1,Longford County Council,15.0
2016-01-01,2016-Q%q,2016,2016Q1,Louth County Council,37.0
2016-01-01,2016-Q%q,2016,2016Q1,Limerick City & County Council,58.0
2016-01-01,2016-Q%q,2016,2016Q1,Leitrim County Council,9.0
2016-01-01,2016-Q%q,2016,2016Q1,Laois County Council,25.0
2016-01-01,2016-Q%q,2016,2016Q1,Meath County Council,88.0
2016-01-01,2016-Q%q,2016,2016Q1,Monaghan County Council,19.0
2016-01-01,2016-Q%q,2016,2016Q1,Mayo County Council,40.0
2016-01-01,2016-Q%q,2016,2016Q1,Offaly County Council,18.0
2016-01-01,2016-Q%q,2016,2016Q1,Roscommon County Council,14.0
2016-01-01,2016-Q%q,2016,2016Q1,South Dublin County Council,62.0
2016-01-01,2016-Q%q,2016,2016Q1,Sligo County Council,13.0
2016-01-01,2016-Q%q,2016,2016Q1,Tipperary County Council,34.0
2016-01-01,2016-Q%q,2016,2016Q1,Waterford City & County Council,37.0
2016-01-01,2016-Q%q,2016,2016Q1,Westmeath County Council,24.0
2016-01-01,2016-Q%q,2016,2016Q1,Wicklow County Council,53.0
2016-01-01,2016-Q%q,2016,2016Q1,Wexford County Council,57.0
2016-04-01,2016-Q%q,2016,2016Q2,Ireland,2368.0
2016-04-01,2016-Q%q,2016,2016Q2,Cork City Council,67.0
2016-04-01,2016-Q%q,2016,2016Q2,Clare County Council,48.0
2016-04-01,2016-Q%q,2016,2016Q2,Cavan County Council,47.0
2016-04-01,2016-Q%q,2016,2016Q2,Cork County Council,161.0
2016-04-01,2016-Q%q,2016,2016Q2,Carlow County Council,17.0
2016-04-01,2016-Q%q,2016,2016Q2,Dublin City Council,233.0
2016-04-01,2016-Q%q,2016,2016Q2,Dún Laoghaire Rathdown County Council,153.0
2016-04-01,2016-Q%q,2016,2016Q2,Donegal County Council,82.0
2016-04-01,2016-Q%q,2016,2016Q2,Fingal County Council,367.0
2016-04-01,2016-Q%q,2016,2016Q2,Galway County Council,107.0
2016-04-01,2016-Q%q,2016,2016Q2,Galway City Council,27.0
2016-04-01,2016-Q%q,2016,2016Q2,Kildare County Council,152.0
2016-04-01,2016-Q%q,2016,2016Q2,Kilkenny County Council,38.0
2016-04-01,2016-Q%q,2016,2016Q2,Kerry County Council,67.0
2016-04-01,2016-Q%q,2016,2016Q2,Longford County Council,15.0
2016-04-01,2016-Q%q,2016,2016Q2,Louth County Council,58.0
2016-04-01,2016-Q%q,2016,2016Q2,Limerick City & County Council,63.0
2016-04-01,2016-Q%q,2016,2016Q2,Leitrim County Council,18.0
2016-04-01,2016-Q%q,2016,2016Q2,Laois County Council,27.0
2016-04-01,2016-Q%q,2016,2016Q2,Meath County Council,143.0
2016-04-01,2016-Q%q,2016,2016Q2,Monaghan County Council,20.0
2016-04-01,2016-Q%q,2016,2016Q2,Mayo County Council,49.0
2016-04-01,2016-Q%q,2016,2016Q2,Offaly County Council,18.0
2016-04-01,2016-Q%q,2016,2016Q2,Roscommon County Council,27.0
2016-04-01,2016-Q%q,2016,2016Q2,South Dublin County Council,87.0
2016-04-01,2016-Q%q,2016,2016Q2,Sligo County Council,21.0
2016-04-01,2016-Q%q,2016,2016Q2,Tipperary County Council,43.0
2016-04-01,2016-Q%q,2016,2016Q2,Waterford City & County Council,30.0
2016-04-01,2016-Q%q,2016,2016Q2,Westmeath County Council,21.0
2016-04-01,2016-Q%q,2016,2016Q2,Wicklow County Council,80.0
2016-04-01,2016-Q%q,2016,2016Q2,Wexford County Council,82.0
2016-07-01,2016-Q%q,2016,2016Q3,Ireland,2450.0
2016-07-01,2016-Q%q,2016,2016Q3,Cork City Council,54.0
2016-07-01,2016-Q%q,2016,2016Q3,Clare County Council,55.0
2016-07-01,2016-Q%q,2016,2016Q3,Cavan County Council,43.0
2016-07-01,2016-Q%q,2016,2016Q3,Cork County Council,197.0
2016-07-01,2016-Q%q,2016,2016Q3,Carlow County Council,24.0
2016-07-01,2016-Q%q,2016,2016Q3,Dublin City Council,251.0
2016-07-01,2016-Q%q,2016,2016Q3,Dún Laoghaire Rathdown County Council,222.0
2016-07-01,2016-Q%q,2016,2016Q3,Donegal County Council,73.0
2016-07-01,2016-Q%q,2016,2016Q3,Fingal County Council,232.0
2016-07-01,2016-Q%q,2016,2016Q3,Galway County Council,102.0
2016-07-01,2016-Q%q,2016,2016Q3,Galway City Council,37.0
2016-07-01,2016-Q%q,2016,2016Q3,Kildare County Council,141.0
2016-07-01,2016-Q%q,2016,2016Q3,Kilkenny County Council,47.0
2016-07-01,2016-Q%q,2016,2016Q3,Kerry County Council,78.0
2016-07-01,2016-Q%q,2016,2016Q3,Longford County Council,13.0
2016-07-01,2016-Q%q,2016,2016Q3,Louth County Council,39.0
2016-07-01,2016-Q%q,2016,2016Q3,Limerick City & County Council,58.0
2016-07-01,2016-Q%q,2016,2016Q3,Leitrim County Council,14.0
2016-07-01,2016-Q%q,2016,2016Q3,Laois County Council,21.0
2016-07-01,2016-Q%q,2016,2016Q3,Meath County Council,186.0
2016-07-01,2016-Q%q,2016,2016Q3,Monaghan County Council,21.0
2016-07-01,2016-Q%q,2016,2016Q3,Mayo County Council,67.0
2016-07-01,2016-Q%q,2016,2016Q3,Offaly County Council,19.0
2016-07-01,2016-Q%q,2016,2016Q3,Roscommon County Council,24.0
2016-07-01,2016-Q%q,2016,2016Q3,South Dublin County Council,130.0
2016-07-01,2016-Q%q,2016,2016Q3,Sligo County Council,31.0
2016-07-01,2016-Q%q,2016,2016Q3,Tipperary County Council,47.0
2016-07-01,2016-Q%q,2016,2016Q3,Waterford City & County Council,51.0
2016-07-01,2016-Q%q,2016,2016Q3,Westmeath County Council,30.0
2016-07-01,2016-Q%q,2016,2016Q3,Wicklow County Council,87.0
2016-07-01,2016-Q%q,2016,2016Q3,Wexford County Council,56.0
2016-10-01,2016-Q%q,2016,2016Q4,Ireland,2966.0
2016-10-01,2016-Q%q,2016,2016Q4,Cork City Council,86.0
2016-10-01,2016-Q%q,2016,2016Q4,Clare County Council,85.0
2016-10-01,2016-Q%q,2016,2016Q4,Cavan County Council,35.0
2016-10-01,2016-Q%q,2016,2016Q4,Cork County Council,181.0
2016-10-01,2016-Q%q,2016,2016Q4,Carlow County Council,26.0
2016-10-01,2016-Q%q,2016,2016Q4,Dublin City Council,223.0
2016-10-01,2016-Q%q,2016,2016Q4,Dún Laoghaire Rathdown County Council,317.0
2016-10-01,2016-Q%q,2016,2016Q4,Donegal County Council,72.0
2016-10-01,2016-Q%q,2016,2016Q4,Fingal County Council,355.0
2016-10-01,2016-Q%q,2016,2016Q4,Galway County Council,101.0
2016-10-01,2016-Q%q,2016,2016Q4,Galway City Council,30.0
2016-10-01,2016-Q%q,2016,2016Q4,Kildare County Council,219.0
2016-10-01,2016-Q%q,2016,2016Q4,Kilkenny County Council,47.0
2016-10-01,2016-Q%q,2016,2016Q4,Kerry County Council,62.0
2016-10-01,2016-Q%q,2016,2016Q4,Longford County Council,16.0
2016-10-01,2016-Q%q,2016,2016Q4,Louth County Council,65.0
2016-10-01,2016-Q%q,2016,2016Q4,Limerick City & County Council,85.0
2016-10-01,2016-Q%q,2016,2016Q4,Leitrim County Council,17.0
2016-10-01,2016-Q%q,2016,2016Q4,Laois County Council,27.0
2016-10-01,2016-Q%q,2016,2016Q4,Meath County Council,182.0
2016-10-01,2016-Q%q,2016,2016Q4,Monaghan County Council,28.0
2016-10-01,2016-Q%q,2016,2016Q4,Mayo County Council,89.0
2016-10-01,2016-Q%q,2016,2016Q4,Offaly County Council,30.0
2016-10-01,2016-Q%q,2016,2016Q4,Roscommon County Council,17.0
2016-10-01,2016-Q%q,2016,2016Q4,South Dublin County Council,191.0
2016-10-01,2016-Q%q,2016,2016Q4,Sligo County Council,22.0
2016-10-01,2016-Q%q,2016,2016Q4,Tipperary County Council,34.0
2016-10-01,2016-Q%q,2016,2016Q4,Waterford City & County Council,96.0
2016-10-01,2016-Q%q,2016,2016Q4,Westmeath County Council,30.0
2016-10-01,2016-Q%q,2016,2016Q4,Wicklow County Council,132.0
2016-10-01,2016-Q%q,2016,2016Q4,Wexford County Council,66.0
